aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
0.478,0.37,-0.762,3.906,-3.54,1.282,0.52,-0.593,-0.675,16.602,2.502,-0.366
0.508,0.344,-0.766,3.54,0.427,-2.991,0.517,-0.593,-0.68,14.526,9.583,-2.197
0.543,0.299,-0.766,3.601,6.592,-6.531,0.505,-0.582,-0.693,12.512,14.954,-2.686
0.581,0.243,-0.77,3.967,12.451,-8.789,0.51,-0.577,-0.691,13.916,15.747,-2.441
0.614,0.194,-0.782,3.418,17.09,-9.399,0.417,-0.577,-0.738,17.883,11.719,-2.808
0.639,0.172,-0.811,2.991,19.592,-9.094,0.433,-0.57,-0.757,19.775,11.047,0.488
0.655,0.152,-0.85,3.418,19.958,-7.874,0.448,-0.562,-0.789,20.02,11.23,5.798
0.657,0.137,-0.871,5.371,18.005,-5.127,0.471,-0.556,-0.806,19.531,10.498,7.507
0.635,0.148,-0.866,7.08,14.282,-1.282,0.499,-0.55,-0.83,19.409,7.629,6.897
0.595,0.185,-0.856,8.362,10.803,2.686,0.511,-0.552,-0.839,18.066,4.15,6.287
0.558,0.226,-0.839,9.094,8.362,5.493,0.516,-0.544,-0.835,14.893,0.977,4.456
0.533,0.26,-0.819,8.484,6.592,6.47,0.505,-0.542,-0.821,11.902,-1.953,2.319
0.519,0.286,-0.798,6.714,4.395,5.371,0.489,-0.543,-0.801,8.667,-3.845,0.183
0.515,0.29,-0.769,4.456,2.38,3.052,0.471,-0.542,-0.776,6.042,-5.31,-1.038
0.519,0.28,-0.753,3.784,3.418,1.221,0.46,-0.543,-0.74,3.845,-6.348,-0.916
0.54,0.283,-0.758,4.517,6.104,0.122,0.458,-0.537,-0.704,3.784,-7.385,0.183
0.554,0.271,-0.774,6.775,8.911,-1.465,0.453,-0.537,-0.684,5.249,-8.301,1.343
0.564,0.245,-0.775,10.132,10.254,-2.808,0.446,-0.548,-0.681,6.958,-8.728,2.441
0.562,0.237,-0.789,14.16,10.986,-3.052,0.45,-0.56,-0.687,7.324,-7.385,3.54
