aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
-0.106,-2.739,1.023,-35.522,6.592,45.166,-0.299,1.404,1.467,92.407,-10.498,-51.27
-0.121,-3.187,1.221,-43.457,8.423,27.344,-0.359,1.799,0.917,136.108,-9.521,7.385
-0.265,-1.918,0.637,-76.172,21.545,16.235,-0.181,2.771,0.759,113.464,-4.272,69.824
-0.154,-2.509,0.505,-64.148,16.174,-24.902,-0.146,1.846,0.461,76.843,-13.306,31.738
-0.183,-2.317,0.624,-17.944,-0.916,-34.973,-0.439,1.651,0.567,46.692,-32.654,33.997
-0.269,-2.055,0.546,-4.028,0.916,-39.429,-0.413,1.608,0.663,11.536,-40.649,64.026
-0.228,-1.952,0.574,-0.61,0.977,-55.237,-0.24,1.437,0.773,-15.076,-33.691,90.271
-0.218,-1.769,0.615,7.996,3.54,-67.078,-0.046,1.233,0.95,-21.362,-21.179,113.159
-0.198,-1.627,0.727,16.113,8.667,-79.346,0.111,0.979,1.055,-17.029,-0.488,123.413
-0.091,-1.453,0.875,17.7,18.127,-92.346,0.266,0.72,1.091,-9.949,20.752,126.038
0.09,-1.246,0.985,14.709,27.527,-103.76,0.513,0.484,1.11,-6.592,28.809,126.282
0.225,-1.038,1.082,12.451,30.945,-109.558,0.689,0.255,1.173,-10.498,20.264,122.437
0.343,-0.827,1.186,12.817,29.419,-108.398,0.819,0.031,1.213,-19.165,5.127,110.962
0.48,-0.619,1.254,16.052,24.414,-102.966,0.878,-0.116,1.231,-32.104,-6.592,89.844
0.564,-0.451,1.332,24.292,15.198,-94.238,0.82,-0.26,1.266,-47.18,-15.991,63.904
0.597,-0.313,1.404,34.607,4.395,-82.642,0.692,-0.419,1.298,-57.495,-24.597,43.335
0.581,-0.166,1.478,40.161,-2.747,-71.96,0.515,-0.565,1.313,-57.19,-29.846,34.668
0.558,-0.015,1.512,39.368,-3.967,-65.186,0.384,-0.726,1.296,-47.485,-29.663,35.034
