aX,aY,aZ,gX,gY,gZ
-1.667,1.384,2.020,-20.325,-32.104,-49.255
-1.273,1.617,1.401,119.019,27.588,57.678
-0.024,1.140,0.764,192.078,61.584,81.238
0.455,2.017,0.371,151.001,92.346,98.267
0.550,1.979,0.254,84.656,86.914,105.774
0.211,0.915,0.581,48.645,28.503,61.462
0.036,0.828,0.855,14.954,-3.479,67.810
0.310,0.971,0.949,-11.475,5.615,79.224
0.410,0.833,0.993,-14.038,14.771,62.866
0.327,0.687,1.104,-10.254,11.292,36.072
0.246,0.592,1.185,-10.620,5.615,15.076
0.210,0.515,1.249,-7.629,3.845,1.526
0.171,0.398,1.263,0.854,7.263,-6.531
0.143,0.250,1.238,9.583,10.864,-7.690
0.110,0.122,1.191,14.587,10.071,-1.160
0.082,-0.007,1.158,15.137,4.700,10.315
0.048,-0.128,1.138,10.864,-1.404,26.123
0.029,-0.239,1.121,3.174,-5.249,44.800
0.035,-0.319,1.110,-5.554,-8.789,63.599
0.056,-0.397,1.124,-15.747,-11.658,78.186
0.101,-0.461,1.122,-26.733,-13.855,88.989
0.142,-0.509,1.118,-36.682,-18.127,95.886
0.134,-0.554,1.143,-43.945,-22.339,97.046
0.111,-0.599,1.154,-49.194,-22.888,94.421
0.057,-0.644,1.153,-51.819,-21.790,91.797
0.016,-0.686,1.147,-50.110,-21.545,91.125
0.002,-0.722,1.143,-45.105,-21.240,91.736
-0.018,-0.779,1.112,-38.696,-19.592,92.896
0.001,-0.830,1.073,-32.227,-17.578,94.604
0.044,-0.844,1.023,-28.687,-15.503,95.520
0.090,-0.857,0.981,-29.236,-15.320,93.384
0.132,-0.847,0.949,-31.311,-18.555,88.440
0.155,-0.821,0.922,-33.630,-23.193,79.834
0.169,-0.776,0.881,-33.813,-26.001,67.505
0.155,-0.731,0.838,-32.104,-25.269,51.331
0.096,-0.677,0.797,-30.396,-21.851,34.790
0.024,-0.614,0.761,-28.564,-18.433,22.217
-0.006,-0.556,0.731,-27.039,-15.076,14.709
-0.035,-0.485,0.705,-24.658,-12.207,11.780
-0.029,-0.425,0.694,-21.057,-9.399,10.925
-0.024,-0.359,0.676,-18.188,-6.348,11.047
-0.026,-0.294,0.672,-16.785,-6.470,11.780
-0.031,-0.235,0.706,-16.785,-10.620,13.306
-0.033,-0.184,0.769,-17.029,-15.076,14.343
-0.025,-0.150,0.823,-14.709,-17.273,13.672
-0.021,-0.126,0.862,-9.277,-17.029,11.536
-0.018,-0.115,0.891,-2.808,-14.771,8.606
-0.017,-0.108,0.902,3.906,-11.780,5.371
-0.021,-0.099,0.904,9.949,-8.728,2.197
-0.015,-0.080,0.905,13.489,-5.798,-0.671
-0.027,-0.061,0.904,14.954,-3.601,-3.418
-0.045,-0.048,0.905,14.954,-2.563,-5.798
-0.062,-0.038,0.908,13.550,-2.075,-6.836
